Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
57.0,109874,30973,567,113,4,13.95,60,0.62,Master's,Part-time,Divorced,Yes,Yes,Auto,No,0
69.0,34006,112148,597,10,4,10.6,24,0.41,Master's,Part-time,Married,No,Yes,Home,Yes,1
20.0,36779,135741,352,75,4,23.82,36,0.84,Bachelor's,Full-time,Divorced,Yes,No,Auto,No,1
41.0,50628,82083,828,102,1,11.32,48,0.46,High School,Self-employed,Divorced,Yes,No,Auto,No,1
28.0,114840,246968,415,109,4,22.65,24,0.73,High School,Self-employed,Divorced,No,Yes,Home,Yes,0
52.0,89443,177828,561,91,3,13.57,12,0.5,PhD,Self-employed,Divorced,Yes,No,Other,Yes,0
51.0,89382,124691,618,61,2,7.8,12,0.34,High School,Unemployed,Divorced,No,Yes,Business,No,1
55.0,115223,239854,687,89,1,17.97,48,0.12,PhD,Unemployed,Divorced,No,Yes,Business,Yes,0
66.0,96835,226253,711,18,1,7.21,12,0.45,Master's,Unemployed,Single,Yes,No,Home,No,1
22.0,104235,237410,471,26,2,24.96,36,0.11,Bachelor's,Full-time,Divorced,Yes,No,Auto,Yes,0
61.0,81067,124569,758,38,1,23.61,36,0.22,PhD,Self-employed,Married,Yes,Yes,Education,No,0
27.0,81176,62378,612,49,3,7.43,48,0.5,Master's,Unemployed,Single,No,No,Other,Yes,0
67.0,25943,128437,463,51,1,20.82,24,0.75,PhD,Part-time,Single,No,Yes,Auto,No,1
30.0,43109,59826,472,78,1,21.99,36,0.75,PhD,Self-employed,Married,No,No,Other,No,1
31.0,147451,96989,691,3,4,10.01,12,0.23,PhD,Unemployed,Divorced,Yes,Yes,Business,Yes,1
26.0,72793,99989,675,105,3,13.43,36,0.54,Master's,Full-time,Single,Yes,Yes,Other,Yes,0
65.0,127174,244949,327,68,4,23.01,48,0.31,Master's,Unemployed,Divorced,Yes,Yes,Home,No,1
48.0,25803,170843,387,113,2,19.78,48,0.34,PhD,Full-time,Single,Yes,Yes,Auto,No,0
32.0,105087,142430,466,8,1,23.95,60,0.22,Master's,Part-time,Divorced,Yes,No,Auto,Yes,1
35.0,71906,171825,831,10,1,23.55,12,0.18,High School,Part-time,Married,No,No,Other,Yes,1
22.0,96998,243728,736,21,2,11.82,60,0.19,High School,Part-time,Married,Yes,Yes,Education,No,1
51.0,144426,87381,665,25,4,23.88,48,0.49,Bachelor's,Self-employed,Married,No,Yes,Other,Yes,1
57.0,106716,167310,705,43,3,20.74,12,0.25,PhD,Full-time,Married,No,No,Home,No,1
29.0,126467,158380,369,7,1,23.79,48,0.49,Bachelor's,Unemployed,Divorced,Yes,No,Education,Yes,1
29.0,38258,118258,679,8,4,14.14,60,0.16,PhD,Self-employed,Single,No,Yes,Other,Yes,1
58.0,50045,215967,836,116,2,17.72,36,0.53,Bachelor's,Unemployed,Married,Yes,No,Other,Yes,0
51.0,93817,187252,385,105,4,4.15,36,0.67,Master's,Full-time,Married,Yes,No,Other,No,0
18.0,121649,11560,506,118,4,10.5,36,0.28,PhD,Unemployed,Divorced,No,No,Auto,Yes,0
44.0,102879,162118,777,110,2,5.1,24,0.67,PhD,Self-employed,Divorced,Yes,Yes,Auto,No,0
35.0,67699,16861,409,94,2,22.43,60,0.87,Master's,Part-time,Divorced,No,No,Business,No,0
37.0,95538,133165,743,96,2,7.62,12,0.77,Master's,Self-employed,Married,Yes,Yes,Education,Yes,0
38.0,16948,143595,388,24,2,5.54,24,0.66,Bachelor's,Unemployed,Single,No,Yes,Education,No,1
54.0,91206,240341,685,119,3,14.55,36,0.63,High School,Self-employed,Single,No,No,Business,No,1
42.0,143904,212845,662,99,2,22.51,36,0.89,High School,Full-time,Married,Yes,Yes,Business,Yes,1
63.0,103277,141930,700,34,4,16.09,60,0.27,PhD,Full-time,Single,No,Yes,Other,No,0
66.0,49030,210073,562,79,2,6.74,48,0.78,Master's,Part-time,Single,No,No,Auto,Yes,1
27.0,70231,120112,551,106,4,3.46,60,0.73,Master's,Unemployed,Single,Yes,Yes,Other,Yes,0
38.0,57491,181129,643,62,1,10.8,48,0.22,High School,Full-time,Married,Yes,Yes,Business,Yes,0
39.0,30599,12012,652,23,1,11.18,24,0.1,Bachelor's,Full-time,Married,No,No,Auto,No,0
22.0,60447,227741,438,38,3,14.22,48,0.67,PhD,Full-time,Divorced,No,No,Auto,No,1
62.0,90288,213086,663,18,1,5.97,36,0.68,PhD,Full-time,Divorced,Yes,No,Business,No,0
61.0,15612,217899,395,119,1,19.35,60,0.32,PhD,Unemployed,Single,No,No,Home,Yes,1
45.0,22632,219480,697,65,4,15.2,48,0.42,Bachelor's,Self-employed,Married,Yes,Yes,Business,No,1
69.0,139662,220167,797,61,1,14.15,36,0.72,PhD,Self-employed,Divorced,Yes,No,Other,Yes,0
48.0,101193,121682,774,61,2,23.89,48,0.8,High School,Unemployed,Married,No,Yes,Auto,No,0
49.0,16468,29522,807,81,2,7.96,12,0.71,Bachelor's,Part-time,Married,Yes,Yes,Other,No,0
69.0,87712,221308,665,106,4,14.14,24,0.11,Master's,Self-employed,Single,No,No,Business,No,1
67.0,87588,72766,738,75,2,3.65,60,0.73,Bachelor's,Self-employed,Single,No,No,Home,Yes,0
33.0,41082,122979,716,41,4,7.73,60,0.53,PhD,Part-time,Married,Yes,Yes,Education,Yes,0
31.0,50800,205776,815,62,4,16.32,36,0.72,High School,Full-time,Single,No,No,Education,No,1
45.0,80967,187213,327,5,3,8.36,36,0.9,Master's,Full-time,Divorced,Yes,Yes,Home,Yes,1
58.0,48124,81298,777,101,2,10.54,12,0.67,Master's,Part-time,Divorced,Yes,Yes,Business,No,0
20.0,110289,119636,653,35,2,24.47,12,0.33,PhD,Unemployed,Single,Yes,No,Auto,No,1
39.0,16232,42186,676,27,1,19.5,12,0.82,High School,Full-time,Divorced,No,Yes,Education,No,0
20.0,37971,217644,716,62,3,20.73,48,0.84,High School,Part-time,Divorced,Yes,Yes,Home,Yes,1
66.0,117300,25566,591,16,2,19.37,48,0.25,Master's,Full-time,Married,No,No,Auto,No,0
58.0,94496,114267,636,43,2,24.6,36,0.34,Bachelor's,Self-employed,Married,Yes,Yes,Auto,Yes,0
34.0,128647,185313,620,36,3,13.04,48,0.8,PhD,Part-time,Divorced,No,No,Other,Yes,0
56.0,72972,137548,521,96,4,20.57,60,0.45,Bachelor's,Unemployed,Married,No,No,Auto,Yes,0
23.0,129273,229813,443,76,4,13.87,36,0.62,PhD,Part-time,Married,No,No,Home,No,1
49.0,51059,120530,508,62,3,16.47,36,0.21,Master's,Unemployed,Single,No,Yes,Home,Yes,1
69.0,19833,114674,520,32,3,7.37,60,0.13,Bachelor's,Self-employed,Divorced,No,No,Other,No,1
26.0,35195,206614,462,15,1,11.41,24,0.67,Bachelor's,Self-employed,Divorced,No,No,Other,No,1
36.0,25083,147436,533,30,4,13.79,12,0.35,Bachelor's,Self-employed,Married,No,Yes,Education,No,0
64.0,148470,8382,405,69,4,12.82,36,0.85,Bachelor's,Full-time,Divorced,No,No,Home,Yes,0
60.0,59649,92868,529,6,1,23.7,12,0.67,Master's,Self-employed,Divorced,Yes,No,Other,No,1
37.0,128363,216244,480,50,2,10.93,48,0.63,PhD,Unemployed,Divorced,Yes,No,Education,No,1
38.0,122322,198709,767,70,1,9.03,36,0.41,Bachelor's,Full-time,Married,No,No,Education,No,1
68.0,105000,182242,494,69,3,5.1,24,0.84,Bachelor's,Part-time,Married,No,No,Home,No,0
50.0,137698,60450,364,21,4,9.41,48,0.69,Bachelor's,Part-time,Single,Yes,No,Business,No,0
25.0,125657,135325,354,8,4,20.07,36,0.25,Bachelor's,Unemployed,Married,Yes,No,Business,Yes,1
56.0,41994,108969,455,44,2,21.82,60,0.14,PhD,Part-time,Single,No,Yes,Education,No,1
68.0,81790,194476,455,50,1,15.69,60,0.61,Bachelor's,Self-employed,Single,Yes,Yes,Education,Yes,0
22.0,79450,140416,821,8,2,21.39,12,0.28,PhD,Part-time,Single,Yes,Yes,Education,No,0
33.0,144644,67705,440,25,3,13.46,24,0.6,PhD,Part-time,Married,No,Yes,Education,No,0
65.0,43164,105260,331,34,3,8.12,36,0.48,Bachelor's,Full-time,Married,Yes,Yes,Business,Yes,0
55.0,149669,29230,351,20,4,11.73,60,0.89,High School,Full-time,Single,Yes,Yes,Auto,Yes,0
37.0,52712,20515,312,25,2,17.62,12,0.4,Bachelor's,Self-employed,Single,No,No,Business,Yes,1
49.0,56734,195482,808,12,4,10.59,36,0.57,PhD,Unemployed,Single,No,No,Auto,No,1
20.0,63397,207306,819,69,1,11.47,60,0.33,High School,Full-time,Divorced,Yes,Yes,Education,No,1
31.0,65488,224900,469,0,3,13.28,48,0.8,PhD,Part-time,Single,No,No,Business,Yes,1
35.0,119095,148980,412,62,4,16.16,60,0.48,PhD,Full-time,Married,No,Yes,Auto,No,1
69.0,135093,187205,307,70,3,9.91,60,0.62,Master's,Self-employed,Married,No,No,Home,No,0
36.0,78224,99521,413,92,2,21.85,36,0.2,PhD,Part-time,Divorced,No,Yes,Auto,No,0
18.0,139989,40069,438,99,3,16.4,24,0.71,Master's,Part-time,Divorced,Yes,Yes,Home,Yes,0
44.0,134567,214568,396,74,4,21.37,24,0.59,Bachelor's,Part-time,Married,Yes,Yes,Auto,Yes,0
34.0,125692,80466,813,112,4,9.17,24,0.47,High School,Part-time,Married,No,No,Home,No,0
56.0,44232,160153,315,80,1,13.61,60,0.79,PhD,Self-employed,Single,No,No,Home,Yes,0
46.0,145330,156142,496,42,3,15.04,36,0.21,Master's,Part-time,Divorced,No,No,Business,Yes,0
38.0,74495,239818,493,119,2,16.11,12,0.76,PhD,Full-time,Married,No,No,Other,Yes,1
22.0,57242,27134,704,32,4,17.01,36,0.6,PhD,Unemployed,Single,No,No,Education,No,1
63.0,15305,34798,492,50,4,13.58,24,0.74,PhD,Full-time,Single,No,No,Education,Yes,0
20.0,31752,20628,660,5,4,2.63,60,0.62,Master's,Self-employed,Divorced,No,No,Auto,No,1
35.0,93495,208333,626,50,2,17.79,12,0.49,High School,Full-time,Single,Yes,No,Home,No,0
34.0,20375,159867,838,15,1,23.3,36,0.46,Bachelor's,Part-time,Single,No,Yes,Auto,No,1
56.0,102126,91426,329,61,4,10.75,60,0.34,Master's,Full-time,Divorced,No,No,Home,Yes,1
33.0,64072,203988,451,102,3,18.46,60,0.3,Bachelor's,Part-time,Married,No,No,Other,No,0
31.0,43550,106327,559,96,3,4.38,36,0.32,Bachelor's,Full-time,Married,Yes,No,Other,No,0
37.0,17579,129357,327,60,1,18.98,12,0.47,Bachelor's,Part-time,Divorced,No,Yes,Other,No,1
34.0,87529,145895,687,49,2,22.8,60,0.13,Master's,Self-employed,Married,No,No,Education,No,0
18.0,58469,213388,806,29,3,19.78,48,0.44,High School,Part-time,Single,No,Yes,Home,Yes,1
55.0,89661,158343,564,95,3,17.69,36,0.21,High School,Self-employed,Divorced,No,No,Home,Yes,0
43.0,51754,100750,467,71,4,13.5,60,0.55,Master's,Full-time,Divorced,Yes,No,Other,Yes,0
59.0,141414,228144,839,109,2,20.66,48,0.69,High School,Unemployed,Single,Yes,No,Business,Yes,0
31.0,25765,165008,705,51,3,22.04,36,0.11,PhD,Part-time,Divorced,Yes,No,Auto,No,0
46.0,62383,101897,342,54,4,6.48,36,0.6,High School,Part-time,Married,No,Yes,Business,No,0
56.0,16720,13922,831,33,4,19.49,60,0.1,Master's,Full-time,Single,No,Yes,Other,Yes,0
25.0,90574,194302,334,66,1,5.77,48,0.41,High School,Self-employed,Divorced,No,Yes,Home,No,1
32.0,112214,25087,461,76,2,4.03,24,0.59,Master's,Self-employed,Divorced,Yes,No,Home,Yes,0
26.0,141057,14875,346,71,3,13.24,48,0.66,High School,Self-employed,Single,No,No,Education,Yes,1
63.0,62994,243426,684,10,3,22.19,36,0.25,High School,Part-time,Married,Yes,Yes,Other,No,1
18.0,77004,67916,601,47,2,8.41,12,0.16,Master's,Unemployed,Divorced,Yes,No,Other,Yes,0
20.0,137473,44018,758,78,1,20.82,48,0.5,Bachelor's,Full-time,Married,Yes,No,Home,Yes,0
50.0,61012,146528,423,110,2,24.35,48,0.74,Bachelor's,Self-employed,Divorced,No,No,Business,Yes,0
45.0,101139,7066,475,40,2,15.46,24,0.21,High School,Full-time,Single,No,Yes,Auto,No,0
61.0,37385,54096,457,82,3,16.13,60,0.33,PhD,Part-time,Divorced,No,No,Home,No,0
33.0,55062,171527,654,43,3,21.34,36,0.41,High School,Unemployed,Married,No,No,Other,Yes,1
31.0,49258,61608,499,4,1,17.19,60,0.2,PhD,Unemployed,Divorced,Yes,Yes,Business,No,0
46.0,39812,103832,517,39,3,5.22,24,0.51,Master's,Part-time,Single,No,Yes,Other,Yes,1
65.0,48184,115332,736,24,1,13.91,36,0.37,High School,Full-time,Divorced,No,No,Auto,Yes,0
33.0,140465,203507,500,39,1,14.94,60,0.64,High School,Self-employed,Married,No,No,Education,No,0
47.0,74461,94058,573,113,1,3.16,36,0.63,PhD,Self-employed,Divorced,No,No,Business,No,1
42.0,30057,133285,675,92,4,2.42,60,0.43,PhD,Unemployed,Married,Yes,No,Home,Yes,0
62.0,85290,105785,526,39,4,9.92,48,0.45,Bachelor's,Full-time,Divorced,Yes,Yes,Education,No,0
34.0,129076,246274,419,82,3,14.92,12,0.85,High School,Self-employed,Divorced,No,No,Education,No,1
30.0,78842,14599,307,42,2,3.98,24,0.3,High School,Self-employed,Married,Yes,No,Education,No,1
57.0,102745,123266,313,1,3,24.99,24,0.88,Bachelor's,Self-employed,Married,Yes,Yes,Business,No,1
32.0,146223,20090,781,62,1,12.53,48,0.11,Master's,Part-time,Married,Yes,Yes,Business,No,0
