Age,Income,LoanAmount,CreditScore,InterestRate,LoanTerm,Education_High School,Education_Master's,Education_PhD,EmploymentType_Part-time,EmploymentType_Self-employed,EmploymentType_Unemployed,MaritalStatus_Married,MaritalStatus_Single,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,Default
57.0,109874.0,30973.0,567.0,13.95,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0
69.0,34006.0,112148.0,597.0,10.6,24.0,0,0,0,1,0,0,1,0,0,0,0,0,1
20.0,36779.0,135741.0,352.0,23.82,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1
41.0,50628.0,82083.0,828.0,11.32,48.0,1,0,0,0,0,0,0,0,0,0,0,0,1
28.0,114840.0,246968.0,415.0,22.65,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0
52.0,89443.0,177828.0,561.0,13.57,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0,89382.0,124691.0,618.0,7.8,12.0,1,0,0,0,0,1,0,0,0,0,0,0,1
55.0,115223.0,239854.0,687.0,17.97,48.0,0,0,0,0,0,1,0,0,0,0,0,0,0
66.0,96835.0,226253.0,711.0,7.21,12.0,0,0,0,0,0,1,0,1,0,0,0,0,1
22.0,104235.0,237410.0,471.0,24.96,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0,81067.0,124569.0,758.0,23.61,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
27.0,81176.0,62378.0,612.0,7.43,48.0,0,0,0,0,0,1,0,1,0,0,0,0,0
67.0,25943.0,128437.0,463.0,20.82,24.0,0,0,0,1,0,0,0,1,0,0,0,0,1
30.0,43109.0,59826.0,472.0,21.99,36.0,0,0,0,0,0,0,1,0,0,0,0,0,1
31.0,147451.0,96989.0,691.0,10.01,12.0,0,0,0,0,0,1,0,0,0,0,0,0,1
26.0,72793.0,99989.0,675.0,13.43,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0
65.0,127174.0,244949.0,327.0,23.01,48.0,0,0,0,0,0,1,0,0,0,0,0,0,1
48.0,25803.0,170843.0,387.0,19.78,48.0,0,0,0,0,0,0,0,1,0,0,0,0,0
32.0,105087.0,142430.0,466.0,23.95,60.0,0,0,0,1,0,0,0,0,0,0,0,0,1
35.0,71906.0,171825.0,831.0,23.55,12.0,1,0,0,1,0,0,1,0,0,0,0,0,1
22.0,96998.0,243728.0,736.0,11.82,60.0,1,0,0,1,0,0,1,0,0,0,0,0,1
51.0,144426.0,87381.0,665.0,23.88,48.0,0,0,0,0,0,0,1,0,0,0,0,0,1
57.0,106716.0,167310.0,705.0,20.74,12.0,0,0,0,0,0,0,1,0,0,0,0,0,1
29.0,126467.0,158380.0,369.0,23.79,48.0,0,0,0,0,0,1,0,0,0,0,0,0,1
29.0,38258.0,118258.0,679.0,14.14,60.0,0,0,0,0,0,0,0,1,0,0,0,0,1
58.0,50045.0,215967.0,836.0,17.72,36.0,0,0,0,0,0,1,1,0,0,0,0,0,0
51.0,93817.0,187252.0,385.0,4.15,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,121649.0,11560.0,506.0,10.5,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0
44.0,102879.0,162118.0,777.0,5.1,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.0,67699.0,16861.0,409.0,22.43,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0
37.0,95538.0,133165.0,743.0,7.62,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0
38.0,16948.0,143595.0,388.0,5.54,24.0,0,0,0,0,0,1,0,1,0,0,0,0,1
54.0,91206.0,240341.0,685.0,14.55,36.0,1,0,0,0,0,0,0,1,0,0,0,0,1
42.0,143904.0,212845.0,662.0,22.51,36.0,1,0,0,0,0,0,1,0,0,0,0,0,1
63.0,103277.0,141930.0,700.0,16.09,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
66.0,49030.0,210073.0,562.0,6.74,48.0,0,0,0,1,0,0,0,1,0,0,0,0,1
27.0,70231.0,120112.0,551.0,3.46,60.0,0,0,0,0,0,1,0,1,0,0,0,0,0
38.0,57491.0,181129.0,643.0,10.8,48.0,1,0,0,0,0,0,1,0,0,0,0,0,0
39.0,30599.0,12012.0,652.0,11.18,24.0,0,0,0,0,0,0,1,0,0,0,0,0,0
22.0,60447.0,227741.0,438.0,14.22,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1
62.0,90288.0,213086.0,663.0,5.97,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0,15612.0,217899.0,395.0,19.35,60.0,0,0,0,0,0,1,0,1,0,0,0,0,1
45.0,22632.0,219480.0,697.0,15.2,48.0,0,0,0,0,0,0,1,0,0,0,0,0,1
69.0,139662.0,220167.0,797.0,14.15,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.0,101193.0,121682.0,774.0,23.89,48.0,1,0,0,0,0,1,1,0,0,0,0,0,0
49.0,16468.0,29522.0,807.0,7.96,12.0,0,0,0,1,0,0,1,0,0,0,0,0,0
69.0,87712.0,221308.0,665.0,14.14,24.0,0,0,0,0,0,0,0,1,0,0,0,0,1
67.0,87588.0,72766.0,738.0,3.65,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
33.0,41082.0,122979.0,716.0,7.73,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0
31.0,50800.0,205776.0,815.0,16.32,36.0,1,0,0,0,0,0,0,1,0,0,0,0,1
45.0,80967.0,187213.0,327.0,8.36,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1
58.0,48124.0,81298.0,777.0,10.54,12.0,0,0,0,1,0,0,0,0,0,0,0,0,0
20.0,110289.0,119636.0,653.0,24.47,12.0,0,0,0,0,0,1,0,1,0,0,0,0,1
39.0,16232.0,42186.0,676.0,19.5,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.0,37971.0,217644.0,716.0,20.73,48.0,1,0,0,1,0,0,0,0,0,0,0,0,1
66.0,117300.0,25566.0,591.0,19.37,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0
58.0,94496.0,114267.0,636.0,24.6,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
34.0,128647.0,185313.0,620.0,13.04,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0
56.0,72972.0,137548.0,521.0,20.57,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,129273.0,229813.0,443.0,13.87,36.0,0,0,0,1,0,0,1,0,0,0,0,0,1
49.0,51059.0,120530.0,508.0,16.47,36.0,0,0,0,0,0,1,0,1,0,0,0,0,1
69.0,19833.0,114674.0,520.0,7.37,60.0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,35195.0,206614.0,462.0,11.41,24.0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.0,25083.0,147436.0,533.0,13.79,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0
64.0,148470.0,8382.0,405.0,12.82,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0,59649.0,92868.0,529.0,23.7,12.0,0,0,0,0,0,0,0,0,0,0,0,0,1
37.0,128363.0,216244.0,480.0,10.93,48.0,0,0,0,0,0,1,0,0,0,0,0,0,1
38.0,122322.0,198709.0,767.0,9.03,36.0,0,0,0,0,0,0,1,0,0,0,0,0,1
68.0,105000.0,182242.0,494.0,5.1,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0
50.0,137698.0,60450.0,364.0,9.41,48.0,0,0,0,1,0,0,0,1,0,0,0,0,0
25.0,125657.0,135325.0,354.0,20.07,36.0,0,0,0,0,0,1,1,0,0,0,0,0,1
56.0,41994.0,108969.0,455.0,21.82,60.0,0,0,0,1,0,0,0,1,0,0,0,0,1
68.0,81790.0,194476.0,455.0,15.69,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
22.0,79450.0,140416.0,821.0,21.39,12.0,0,0,0,1,0,0,0,1,0,0,0,0,0
33.0,144644.0,67705.0,440.0,13.46,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0
65.0,43164.0,105260.0,331.0,8.12,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
55.0,149669.0,29230.0,351.0,11.73,60.0,1,0,0,0,0,0,0,1,0,0,0,0,0
37.0,52712.0,20515.0,312.0,17.62,12.0,0,0,0,0,0,0,0,1,0,0,0,0,1
49.0,56734.0,195482.0,808.0,10.59,36.0,0,0,0,0,0,1,0,1,0,0,0,0,1
20.0,63397.0,207306.0,819.0,11.47,60.0,1,0,0,0,0,0,0,0,0,0,0,0,1
31.0,65488.0,224900.0,469.0,13.28,48.0,0,0,0,1,0,0,0,1,0,0,0,0,1
35.0,119095.0,148980.0,412.0,16.16,60.0,0,0,0,0,0,0,1,0,0,0,0,0,1
69.0,135093.0,187205.0,307.0,9.91,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0
36.0,78224.0,99521.0,413.0,21.85,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0
18.0,139989.0,40069.0,438.0,16.4,24.0,0,0,0,1,0,0,0,0,0,0,0,0,0
44.0,134567.0,214568.0,396.0,21.37,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0
34.0,125692.0,80466.0,813.0,9.17,24.0,1,0,0,1,0,0,1,0,0,0,0,0,0
56.0,44232.0,160153.0,315.0,13.61,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
46.0,145330.0,156142.0,496.0,15.04,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0
38.0,74495.0,239818.0,493.0,16.11,12.0,0,0,0,0,0,0,1,0,0,0,0,0,1
22.0,57242.0,27134.0,704.0,17.01,36.0,0,0,0,0,0,1,0,1,0,0,0,0,1
63.0,15305.0,34798.0,492.0,13.58,24.0,0,0,0,0,0,0,0,1,0,0,0,0,0
20.0,31752.0,20628.0,660.0,2.63,60.0,0,0,0,0,0,0,0,0,0,0,0,0,1
35.0,93495.0,208333.0,626.0,17.79,12.0,1,0,0,0,0,0,0,1,0,0,0,0,0
34.0,20375.0,159867.0,838.0,23.3,36.0,0,0,0,1,0,0,0,1,0,0,0,0,1
56.0,102126.0,91426.0,329.0,10.75,60.0,0,0,0,0,0,0,0,0,0,0,0,0,1
33.0,64072.0,203988.0,451.0,18.46,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0
31.0,43550.0,106327.0,559.0,4.38,36.0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.0,17579.0,129357.0,327.0,18.98,12.0,0,0,0,1,0,0,0,0,0,0,0,0,1
34.0,87529.0,145895.0,687.0,22.8,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,58469.0,213388.0,806.0,19.78,48.0,1,0,0,1,0,0,0,1,0,0,0,0,1
55.0,89661.0,158343.0,564.0,17.69,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0
43.0,51754.0,100750.0,467.0,13.5,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.0,141414.0,228144.0,839.0,20.66,48.0,1,0,0,0,0,1,0,1,0,0,0,0,0
31.0,25765.0,165008.0,705.0,22.04,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0
46.0,62383.0,101897.0,342.0,6.48,36.0,1,0,0,1,0,0,1,0,0,0,0,0,0
56.0,16720.0,13922.0,831.0,19.49,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
25.0,90574.0,194302.0,334.0,5.77,48.0,1,0,0,0,0,0,0,0,0,0,0,0,1
32.0,112214.0,25087.0,461.0,4.03,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0,141057.0,14875.0,346.0,13.24,48.0,1,0,0,0,0,0,0,1,0,0,0,0,1
63.0,62994.0,243426.0,684.0,22.19,36.0,1,0,0,1,0,0,1,0,0,0,0,0,1
18.0,77004.0,67916.0,601.0,8.41,12.0,0,0,0,0,0,1,0,0,0,0,0,0,0
20.0,137473.0,44018.0,758.0,20.82,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,61012.0,146528.0,423.0,24.35,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
45.0,101139.0,7066.0,475.0,15.46,24.0,1,0,0,0,0,0,0,1,0,0,0,0,0
61.0,37385.0,54096.0,457.0,16.13,60.0,0,0,0,1,0,0,0,0,0,0,0,0,0
33.0,55062.0,171527.0,654.0,21.34,36.0,1,0,0,0,0,1,1,0,0,0,0,0,1
31.0,49258.0,61608.0,499.0,17.19,60.0,0,0,0,0,0,1,0,0,0,0,0,0,0
46.0,39812.0,103832.0,517.0,5.22,24.0,0,0,0,1,0,0,0,1,0,0,0,0,1
65.0,48184.0,115332.0,736.0,13.91,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0
33.0,140465.0,203507.0,500.0,14.94,60.0,1,0,0,0,0,0,1,0,0,0,0,0,0
47.0,74461.0,94058.0,573.0,3.16,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1
42.0,30057.0,133285.0,675.0,2.42,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0
62.0,85290.0,105785.0,526.0,9.92,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.0,129076.0,246274.0,419.0,14.92,12.0,1,0,0,0,0,0,0,0,0,0,0,0,1
30.0,78842.0,14599.0,307.0,3.98,24.0,1,0,0,0,0,0,1,0,0,0,0,0,1
57.0,102745.0,123266.0,313.0,24.99,24.0,0,0,0,0,0,0,1,0,0,0,0,0,1
32.0,146223.0,20090.0,781.0,12.53,48.0,0,0,0,1,0,0,1,0,0,0,0,0,0
61.0,63957.0,83570.0,756.0,15.36,36.0,0,0,0,1,0,0,0,0,0,0,0,0,0
56.0,115505.0,61688.0,343.0,13.65,36.0,0,0,0,0,0,1,1,0,0,0,0,0,1
27.0,32572.0,91697.0,834.0,4.5,12.0,0,0,0,0,0,0,0,1,0,0,0,0,1
42.0,44585.0,117384.0,446.0,8.02,60.0,0,0,0,0,0,1,1,0,0,0,0,0,1
43.0,22072.0,216801.0,536.0,14.84,24.0,1,0,0,0,0,1,0,1,0,0,0,0,1
19.0,58394.0,12018.0,451.0,12.59,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.0,92309.0,11827.0,680.0,23.04,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
49.0,131730.0,193810.0,565.0,12.19,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1
43.0,140363.0,197996.0,385.0,5.12,60.0,0,0,0,1,0,0,1,0,0,0,0,0,0
65.0,68001.0,145770.0,816.0,14.48,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.0,52914.0,205615.0,744.0,2.55,60.0,0,0,0,0,0,0,0,1,0,0,0,0,0
54.0,80108.0,195127.0,422.0,17.2,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0
40.0,35600.0,27922.0,497.0,18.8,24.0,0,0,0,1,0,0,1,0,0,0,0,0,0
27.0,25264.0,100884.0,591.0,16.61,60.0,0,0,0,1,0,0,0,1,0,0,0,0,1
64.0,33880.0,150394.0,829.0,4.04,36.0,0,0,0,0,0,1,1,0,0,0,0,0,1
38.0,134748.0,194763.0,315.0,17.42,12.0,0,0,0,0,0,0,1,0,0,0,0,0,1
33.0,97524.0,153153.0,500.0,7.36,36.0,0,0,0,0,0,1,0,0,0,0,0,0,1
41.0,47435.0,180477.0,578.0,18.27,36.0,1,0,0,0,0,0,1,0,0,0,0,0,1
36.0,23679.0,180563.0,385.0,10.75,48.0,0,0,0,0,0,1,1,0,0,0,0,0,0
24.0,54886.0,188618.0,631.0,4.5,60.0,0,0,0,0,0,0,0,1,0,0,0,0,1
36.0,89725.0,135320.0,651.0,11.33,48.0,0,0,0,0,0,1,1,0,0,0,0,0,1
40.0,114358.0,167143.0,431.0,15.09,36.0,0,0,0,1,0,0,0,1,0,0,0,0,0
38.0,25092.0,47208.0,822.0,17.45,60.0,0,0,0,0,0,0,1,0,0,0,0,0,0
64.0,118789.0,204103.0,664.0,10.11,48.0,0,0,0,0,0,1,0,1,0,0,0,0,0
35.0,47565.0,99144.0,510.0,19.89,60.0,0,0,0,0,0,0,0,0,0,0,0,0,1
35.0,109890.0,168799.0,399.0,3.94,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0
42.0,44003.0,122768.0,612.0,5.73,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0
57.0,139252.0,122982.0,779.0,22.93,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.0,98678.0,93338.0,708.0,10.36,48.0,0,0,0,0,0,0,0,0,0,0,0,0,1
43.0,146492.0,233158.0,779.0,24.71,36.0,0,0,0,1,0,0,0,1,0,0,0,0,0
27.0,142930.0,224816.0,437.0,2.25,12.0,0,0,0,0,0,0,0,1,0,0,0,0,1
26.0,40885.0,237618.0,305.0,5.15,24.0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.0,88670.0,32226.0,614.0,10.31,12.0,1,0,0,0,0,0,0,1,0,0,0,0,0
32.0,93505.0,225126.0,567.0,17.66,36.0,1,0,0,1,0,0,1,0,0,0,0,0,1
